Month	Year	Rainfall	WPI	Crop	Season	Prev_Month_WPI	Temperature
4	2012	47.5	104.8	Wheat	2	167.8938272	21.13527936
5	2012	31.7	105.2	Wheat	2	104.8	19.89531576
6	2012	117.8	106.7	Wheat	0	105.2	19.0669503
7	2012	250.2	107.9	Wheat	0	106.7	24.86742036
8	2012	262.4	109.3	Wheat	0	107.9	29.891688
9	2012	193.5	110.6	Wheat	0	109.3	27.33756345
10	2012	58.7	111.4	Wheat	1	110.6	34.05984894
11	2012	30.7	112.8	Wheat	1	111.4	18.0248411
12	2012	11.7	113.5	Wheat	3	112.8	23.06213715
1	2013	11.3	114.9	Wheat	3	113.5	30.89396986
2	2013	40.1	116.2	Wheat	3	114.9	24.81041015
3	2013	15.7	117.8	Wheat	2	116.2	28.56160665
4	2013	30.4	119.3	Wheat	2	117.8	34.73186665
5	2013	57.8	120.7	Wheat	2	119.3	22.70578942
6	2013	219.8	122.4	Wheat	0	120.7	31.97920479
7	2013	310	124.1	Wheat	0	122.4	21.12191173
8	2013	254.7	125.6	Wheat	0	124.1	26.17651312
9	2013	152.7	126.9	Wheat	0	125.6	31.38790185
10	2013	129.4	128.3	Wheat	1	126.9	30.62969822
11	2013	14	129.7	Wheat	1	128.3	32.23638123
12	2013	6.7	131.2	Wheat	3	129.7	21.4082253
1	2014	19.2	132.8	Wheat	3	131.2	25.89060606
2	2014	27.4	134.5	Wheat	3	132.8	22.5040987
3	2014	36.1	136.9	Wheat	2	134.5	24.09414642
4	2014	22.2	138.4	Wheat	2	136.9	30.94764675
5	2014	72.9	140.2	Wheat	2	138.4	23.2279225
6	2014	95.4	142.1	Wheat	0	140.2	32.67071351
7	2014	261.2	144.7	Wheat	0	142.1	33.84970207
8	2014	237.5	146.3	Wheat	0	144.7	21.28435925
9	2014	188	148.1	Wheat	0	146.3	25.18503122
10	2014	60.2	149.8	Wheat	1	148.1	28.53727778
11	2014	14.4	151.3	Wheat	1	149.8	21.05328967
12	2014	10.7	152.9	Wheat	3	151.3	25.59867422
1	2015	17.4	154.7	Wheat	3	152.9	20.26589603
2	2015	21	156.3	Wheat	3	154.7	32.24003204
3	2015	62	158.1	Wheat	2	156.3	31.6040945
4	2015	69.4	159.8	Wheat	2	158.1	22.70280647
5	2015	53.8	161.6	Wheat	2	159.8	19.71478848
6	2015	192.8	163.4	Wheat	0	161.6	32.61318388
7	2015	242.4	165.2	Wheat	0	163.4	28.42297385
8	2015	205.2	166.9	Wheat	0	165.2	19.54625165
9	2015	131.8	168.5	Wheat	0	166.9	34.43929503
10	2015	42.9	170.3	Wheat	1	168.5	29.85918769
11	2015	39.4	172.1	Wheat	1	170.3	21.37902503
12	2015	15	173.8	Wheat	3	172.1	25.62173816
1	2016	19.3	175.6	Wheat	3	173.8	34.26334603
2	2016	22.8	177.4	Wheat	3	175.6	33.37334548
3	2016	27.6	179.2	Wheat	2	177.4	21.78715858
4	2016	37.4	181.1	Wheat	2	179.2	29.48351013
5	2016	62.6	182.9	Wheat	2	181.1	29.04407592
6	2016	168.3	184.7	Wheat	0	182.9	28.16603289
7	2016	289.1	186.5	Wheat	0	184.7	18.86380297
8	2016	256.3	188.3	Wheat	0	186.5	33.64041816
9	2016	171.9	190.1	Wheat	0	188.3	26.54419082
10	2016	76.1	191.8	Wheat	1	190.1	32.49050726
11	2016	29.7	193.6	Wheat	1	191.8	33.54662582
12	2016	14.9	195.4	Wheat	3	193.6	30.25971377
1	2017	19	197.2	Wheat	3	195.4	33.60361674
2	2017	22.6	199.1	Wheat	3	197.2	32.1330341
3	2017	27.8	200.9	Wheat	2	199.1	22.45529357
4	2017	37.9	202.6	Wheat	2	200.9	33.89533061
5	2017	62.4	204.4	Wheat	2	202.6	23.83245433
6	2017	168.1	206.2	Wheat	0	204.4	22.87903529
7	2017	289.3	208.1	Wheat	0	206.2	22.40047917
8	2017	256.2	209.8	Wheat	0	208.1	20.8678956
9	2017	171.5	211.5	Wheat	0	209.8	19.79986635
10	2017	76.3	213.2	Wheat	1	211.5	18.01423181
11	2017	29.9	214.9	Wheat	1	213.2	33.92408726
12	2017	15	216.7	Wheat	3	214.9	30.79404148
1	2018	19.2	218.4	Wheat	3	216.7	30.04151192
2	2018	20.1	220.2	Wheat	3	218.4	30.97932561
3	2018	27.1	222.1	Wheat	2	220.2	24.59083043
4	2018	40.2	223.9	Wheat	2	222.1	31.76846943
5	2018	62.7	225.7	Wheat	2	223.9	33.38080505
6	2018	165	227.5	Wheat	0	225.7	29.78915168
7	2018	286.3	229.3	Wheat	0	227.5	18.7115332
8	2018	254.3	231.1	Wheat	0	229.3	18.6248415
9	2018	171.9	232.8	Wheat	0	231.1	24.77060637
10	2018	77.2	234.6	Wheat	1	232.8	29.54909264
11	2018	28.1	236.4	Wheat	1	234.6	19.15047295
12	2018	14.1	238.2	Wheat	3	236.4	24.88278463
4	2012	47.5	85.2	Tomato	2	116.6604938	31.04872649
5	2012	31.7	87.5	Tomato	2	85.2	23.08804973
6	2012	117.8	89.3	Tomato	0	87.5	19.80715517
7	2012	250.2	92.8	Tomato	0	89.3	33.32934193
8	2012	262.4	95.6	Tomato	0	92.8	22.9318176
9	2012	193.5	93.4	Tomato	0	95.6	30.45770211
10	2012	58.7	90.2	Tomato	1	93.4	21.18041303
11	2012	30.7	88.7	Tomato	1	90.2	31.52730163
12	2012	11.7	87.3	Tomato	3	88.7	18.07889338
1	2013	11.3	86.9	Tomato	3	87.3	30.59469389
2	2013	40.1	89.4	Tomato	3	86.9	25.76720147
3	2013	15.7	91.2	Tomato	2	89.4	24.42046978
4	2013	30.4	93.5	Tomato	2	91.2	27.95707434
5	2013	57.8	95.8	Tomato	2	93.5	19.48335829
6	2013	219.8	98.2	Tomato	0	95.8	19.65290933
7	2013	310	101.5	Tomato	0	98.2	19.58320051
8	2013	254.7	99.8	Tomato	0	101.5	26.05940663
9	2013	152.7	97.3	Tomato	0	99.8	21.42211641
10	2013	129.4	95.6	Tomato	1	97.3	30.50851333
11	2013	14	94.2	Tomato	1	95.6	33.198693
12	2013	6.7	93.8	Tomato	3	94.2	18.66426875
1	2014	19.2	95.3	Tomato	3	93.8	22.45562803
2	2014	27.4	97.8	Tomato	3	95.3	29.13801324
3	2014	36.1	102.4	Tomato	2	97.8	28.88256592
4	2014	22.2	106.9	Tomato	2	102.4	31.4752201
5	2014	72.9	108.3	Tomato	2	106.9	29.45704248
6	2014	95.4	110.7	Tomato	0	108.3	33.90550786
7	2014	261.2	115.2	Tomato	0	110.7	27.13728612
8	2014	237.5	118.9	Tomato	0	115.2	31.68683394
9	2014	188	116.4	Tomato	0	118.9	33.00164862
10	2014	60.2	113.8	Tomato	1	116.4	20.33648361
11	2014	14.4	111.5	Tomato	1	113.8	31.88892935
12	2014	10.7	109.8	Tomato	3	111.5	19.92933242
1	2015	17.4	112.6	Tomato	3	109.8	30.73380353
2	2015	21	114.9	Tomato	3	112.6	24.49304042
3	2015	62	117.3	Tomato	2	114.9	25.8297406
4	2015	69.4	119.7	Tomato	2	117.3	20.97674103
5	2015	53.8	122.4	Tomato	2	119.7	25.5949692
6	2015	192.8	125.8	Tomato	0	122.4	23.20509079
7	2015	242.4	128.3	Tomato	0	125.8	27.01186897
8	2015	205.2	126.7	Tomato	0	128.3	25.23983342
9	2015	131.8	124.2	Tomato	0	126.7	29.98210592
10	2015	42.9	121.9	Tomato	1	124.2	34.1426438
11	2015	39.4	119.6	Tomato	1	121.9	30.06633845
12	2015	15	117.8	Tomato	3	119.6	20.87648282
1	2016	19.3	115.9	Tomato	3	117.8	34.53399291
2	2016	22.8	118.4	Tomato	3	115.9	23.495525
3	2016	27.6	121.6	Tomato	2	118.4	33.40884121
4	2016	37.4	124.8	Tomato	2	121.6	32.02191891
5	2016	62.6	127.9	Tomato	2	124.8	23.1022238
6	2016	168.3	131.2	Tomato	0	127.9	28.17091736
7	2016	289.1	134.5	Tomato	0	131.2	30.14944371
8	2016	256.3	132.8	Tomato	0	134.5	26.67351758
9	2016	171.9	130.1	Tomato	0	132.8	23.29143132
10	2016	76.1	127.6	Tomato	1	130.1	25.86108159
11	2016	29.7	125.3	Tomato	1	127.6	28.63522379
12	2016	14.9	123.7	Tomato	3	125.3	27.5848488
1	2017	19	121.8	Tomato	3	123.7	33.12327499
2	2017	22.6	124.5	Tomato	3	121.8	32.96968418
3	2017	27.8	127.3	Tomato	2	124.5	24.4302312
4	2017	37.9	129.8	Tomato	2	127.3	25.57989133
5	2017	62.4	132.6	Tomato	2	129.8	27.28828796
6	2017	168.1	135.4	Tomato	0	132.6	28.58043264
7	2017	289.3	138.7	Tomato	0	135.4	23.97269776
8	2017	256.2	136.9	Tomato	0	138.7	32.71877088
9	2017	171.5	134.2	Tomato	0	136.9	32.70467357
10	2017	76.3	131.5	Tomato	1	134.2	25.68223426
11	2017	29.9	128.9	Tomato	1	131.5	23.09332438
12	2017	15	126.4	Tomato	3	128.9	31.74347923
